"","Gene11","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene33","Gene34","Gene35","Gene42","Gene43","Gene82","Gene85","Gene87","Gene88","Gene89","Gene90","Gene92","Gene94","Gene95","Gene96","Gene97","Gene98","Gene117","Gene121","Gene122","Gene125","Gene139","Gene140","Gene143","Gene147","Gene152","Gene155","Gene161","Gene165","Gene192","Gene194","Gene233","Gene272","Gene351","Gene414","Gene425","Gene586","Gene602","Gene614","Gene629","Gene659","Gene697","Gene791","Gene819","Gene826","Gene829","Gene966","Gene1000","Gene1026","Gene1076","Gene1107","Gene1111","Gene1139","Gene1171","Gene1206","Gene1374","Gene1429","Gene1431","Gene1439","Gene1492","Gene1509","Gene1607","Gene1628","Gene1657","Gene1695","Gene1714","Gene1753","Gene1755","Gene1829","Gene1873","Gene1902","Gene1939","Gene1941"
"Cell253",0,38,1,6,0,21,0,0,0,27,75,28,0,0,16,7,19,0,2,27,10,12,6,0,1,16,25,41,0,15,0,5,0,6,0,2,3,0,0,33,34,3,0,21,1,9,114,1,2,53,18,0,1,174,6,67,0,23,0,1,20,52,1,1,1,24,0,1,2,1,5,15,26,0,31,36,4,42,2,11,3,0,13,9
"Cell254",0,47,3,7,1,30,0,0,0,15,33,38,0,4,19,13,18,0,6,18,6,23,1,2,0,17,31,60,0,33,0,7,1,9,1,5,4,8,0,29,67,11,0,41,0,30,150,0,8,66,19,3,8,277,14,82,0,47,0,10,22,37,2,7,5,16,0,11,4,0,9,54,27,0,31,54,14,10,3,13,3,3,12,22
"Cell255",0,62,1,11,3,32,1,0,0,16,50,41,0,8,17,5,14,0,7,29,2,8,1,7,1,26,17,53,0,2,0,22,0,4,0,9,7,2,0,39,36,0,0,42,1,23,126,1,5,74,6,0,2,172,27,55,1,43,0,13,20,45,3,1,7,30,0,1,3,2,5,40,45,0,44,64,15,30,0,6,0,0,12,21
"Cell256",0,35,1,20,3,38,0,0,1,7,41,41,0,14,36,9,52,1,3,15,14,38,6,6,1,19,38,53,0,13,0,17,2,10,3,6,4,2,0,62,92,6,0,53,3,20,168,3,1,105,35,11,10,309,21,132,0,88,0,1,42,58,6,3,8,60,0,3,0,2,5,50,58,0,47,72,10,50,1,14,10,0,14,51
"Cell257",0,37,2,24,6,38,0,1,4,23,41,38,0,4,19,7,34,2,3,18,3,11,3,0,2,21,10,66,0,10,0,6,0,7,0,6,2,7,0,44,46,1,0,56,4,20,116,1,6,43,4,2,3,220,14,58,0,28,0,10,17,70,0,2,4,15,0,3,5,2,5,68,26,0,16,41,5,19,1,5,1,0,11,20
"Cell258",0,64,0,20,7,27,1,1,4,26,39,54,0,8,20,8,38,2,1,25,2,18,3,3,3,15,26,51,0,12,0,7,1,2,1,13,6,3,0,30,57,1,0,25,7,21,155,13,6,45,14,2,3,319,36,147,0,64,0,10,34,85,0,0,10,25,0,2,1,2,9,61,49,0,18,79,27,26,0,15,9,4,28,29
"Cell259",0,56,0,17,6,27,0,0,11,27,62,46,1,9,24,8,44,5,3,30,5,29,0,0,3,20,51,85,0,2,0,11,0,7,5,0,4,1,1,66,74,6,0,46,4,37,176,5,1,69,14,9,8,233,21,143,3,52,0,5,28,54,0,4,14,38,0,9,3,5,4,58,55,0,39,70,22,36,0,5,1,0,13,38
"Cell260",0,81,0,10,1,56,0,0,2,31,46,34,4,9,36,12,57,3,7,30,6,27,4,4,2,45,45,75,0,8,0,20,0,8,0,7,0,3,0,55,66,2,0,47,9,55,203,1,5,72,24,5,9,343,23,119,0,68,0,6,27,90,0,0,11,44,0,4,2,11,7,77,69,0,58,36,13,43,0,23,3,2,24,33
"Cell261",0,36,0,25,4,41,0,0,4,19,34,37,0,6,14,3,27,5,2,22,14,29,6,0,3,22,30,43,0,11,0,11,5,5,0,6,7,2,0,29,50,2,1,28,3,26,159,1,4,41,14,3,3,255,30,122,0,61,3,8,25,76,0,1,9,37,0,4,1,2,3,36,29,0,29,31,13,44,1,10,8,1,14,28
"Cell262",0,35,7,15,5,21,1,3,2,28,45,49,0,10,28,17,48,6,3,26,1,6,3,2,2,10,23,55,0,8,0,3,0,9,0,15,2,1,0,28,22,0,0,29,3,18,140,4,0,47,28,7,6,229,24,138,0,58,0,4,18,27,0,0,4,13,0,18,0,0,3,53,44,0,29,71,11,26,0,14,2,0,17,8
"Cell263",0,65,3,14,8,39,0,0,5,21,64,39,1,7,41,8,67,3,3,26,16,19,0,5,0,59,36,114,0,11,0,16,0,7,1,9,1,4,2,55,96,5,0,36,5,21,127,1,9,93,9,7,14,284,13,143,0,58,0,5,38,67,5,0,12,27,0,9,10,2,7,51,70,1,49,62,26,46,1,27,8,0,15,35
"Cell264",0,41,1,9,0,39,0,0,6,26,69,52,0,4,25,6,30,1,2,22,5,41,2,2,0,24,45,60,0,7,1,4,2,13,5,8,3,2,0,32,58,7,2,28,5,39,155,2,5,42,15,3,4,308,28,111,0,61,1,8,41,55,4,2,18,17,0,11,10,2,8,40,42,0,24,56,12,20,5,15,3,1,16,29
"Cell265",0,30,1,8,1,20,0,0,0,11,55,17,0,3,17,4,9,0,1,16,7,10,0,0,3,25,18,43,0,0,0,3,1,4,1,4,1,0,0,27,35,7,0,27,1,10,111,0,1,53,9,4,7,200,20,70,0,40,0,6,23,45,1,0,3,24,0,1,4,0,2,49,21,0,17,50,6,26,3,10,2,0,10,16
"Cell266",0,33,2,17,8,47,1,0,3,15,89,53,0,5,45,14,46,1,0,25,2,22,4,0,4,35,37,69,1,22,0,11,0,2,0,19,7,15,0,58,35,9,0,37,13,33,194,1,2,75,22,7,2,391,20,89,0,70,0,0,22,91,1,2,10,17,0,8,7,2,8,94,64,0,31,61,9,39,1,3,1,0,9,20
"Cell267",0,46,0,14,9,40,0,0,1,29,71,73,0,16,19,15,40,0,9,20,10,13,2,0,1,31,40,75,0,10,0,18,6,3,1,19,6,2,1,41,54,8,1,28,6,43,267,8,5,97,20,6,8,370,19,137,0,80,0,11,34,51,4,11,15,43,0,16,1,5,14,41,80,0,34,87,28,41,6,6,8,0,34,24
"Cell268",0,36,0,28,4,30,2,0,6,21,45,82,1,12,61,10,36,4,1,24,6,16,3,1,4,24,31,78,0,10,0,9,4,11,5,9,3,0,0,65,50,4,0,43,6,38,137,5,8,51,16,6,5,237,16,124,0,53,0,9,27,54,1,9,5,36,0,4,2,5,5,64,33,2,43,47,26,34,4,9,7,0,13,24
"Cell269",0,53,0,30,5,38,0,1,0,27,78,67,0,5,33,13,61,1,1,33,2,26,4,3,4,18,50,100,0,9,0,7,1,8,0,8,2,2,2,60,73,9,2,50,8,38,204,6,2,79,7,2,4,381,45,157,1,96,0,3,32,93,0,0,14,41,0,3,5,3,1,92,45,0,32,92,19,52,1,37,4,0,27,24
"Cell270",0,28,0,10,1,19,0,0,0,8,40,35,0,4,14,6,15,3,0,17,16,27,5,0,0,10,12,57,0,2,0,7,1,8,0,5,5,0,0,46,42,5,0,23,2,13,132,1,6,46,14,1,6,286,11,57,0,61,0,3,20,27,0,4,12,22,0,11,0,2,3,64,38,0,22,57,9,22,4,13,4,0,7,12
"Cell271",0,29,3,57,5,46,0,0,1,29,71,58,0,16,35,5,45,1,2,22,12,34,2,1,0,25,44,70,0,9,1,5,0,5,6,7,12,0,1,69,94,1,0,58,2,40,156,0,4,84,18,5,8,436,48,128,0,74,0,14,22,95,5,3,25,44,0,5,2,5,3,83,56,0,31,108,15,22,7,10,5,0,15,28
"Cell272",0,35,1,32,1,20,1,0,2,25,62,64,0,7,17,6,41,8,0,36,2,22,3,2,3,38,38,69,0,10,1,3,0,19,0,10,8,2,0,44,48,4,1,42,10,41,136,3,4,75,27,4,4,270,20,147,0,54,1,12,12,37,1,6,10,29,0,5,0,1,16,39,44,0,23,46,24,51,1,8,5,0,26,19
"Cell273",0,60,2,7,0,41,2,0,2,31,78,34,1,7,28,16,62,1,4,18,2,26,4,3,5,19,37,79,0,6,0,6,2,10,4,10,2,2,0,50,45,12,1,34,6,31,179,7,5,59,19,1,3,271,48,105,0,69,0,12,31,112,9,5,16,21,0,6,4,9,6,76,49,0,22,63,16,35,4,8,1,3,21,16
"Cell274",0,34,0,17,6,55,2,0,6,27,56,39,1,5,29,5,30,0,5,37,1,37,2,8,1,16,24,110,0,11,2,22,2,8,0,6,7,2,0,26,62,3,0,34,8,32,170,3,4,48,23,6,4,240,21,104,0,64,0,5,46,88,2,5,16,46,0,7,3,1,2,57,56,0,40,49,12,42,1,8,2,0,11,32
"Cell275",0,30,3,10,9,31,2,0,1,8,26,36,2,1,25,4,26,3,0,16,2,25,2,2,2,30,13,39,0,4,0,2,3,5,0,4,1,1,0,38,49,1,0,23,3,29,127,0,11,57,8,5,6,255,11,114,0,40,0,4,37,54,1,2,6,20,0,13,5,3,9,39,21,0,25,36,14,30,0,5,2,0,22,18
"Cell276",0,29,4,25,0,19,4,0,0,16,45,51,2,8,20,6,24,0,6,22,10,23,1,1,5,38,33,32,0,12,0,7,0,8,0,3,1,0,1,45,53,1,0,33,1,37,110,2,1,75,4,6,4,198,28,129,0,55,0,2,34,47,2,3,7,18,1,0,1,1,4,73,44,0,26,49,14,29,1,5,6,1,6,26
"Cell277",0,36,1,7,0,34,0,0,2,17,32,50,0,1,16,4,37,0,8,11,16,26,1,2,4,33,32,58,0,4,0,14,0,7,0,2,5,2,0,81,64,5,0,24,2,16,162,4,1,75,14,4,13,211,15,96,0,46,0,9,18,72,1,3,7,33,0,6,7,0,19,35,22,0,25,94,24,20,2,4,5,2,13,5
"Cell278",0,34,2,9,2,26,4,0,0,14,40,50,1,5,20,13,25,0,0,34,6,26,1,1,2,23,32,69,0,5,0,7,0,11,0,17,3,2,2,64,55,0,0,33,1,27,132,0,0,61,19,7,1,215,15,85,0,52,0,9,12,73,4,2,5,20,0,3,0,3,1,75,24,0,21,77,15,24,2,8,10,2,9,46
"Cell279",0,49,2,17,17,67,0,0,0,35,80,58,0,12,37,8,54,0,5,36,21,19,5,3,0,39,34,69,0,13,0,4,0,6,1,11,4,2,2,69,100,3,1,66,3,38,223,3,11,90,13,8,3,290,62,135,1,82,0,22,27,69,4,8,11,47,0,8,6,1,5,105,89,0,26,55,41,53,0,17,11,0,20,40
"Cell280",0,52,3,8,0,28,0,0,5,16,40,43,0,2,22,12,54,3,4,16,1,14,6,2,0,37,30,44,0,3,0,11,2,4,1,6,2,3,0,57,66,5,0,35,4,54,179,7,7,55,13,1,1,348,17,133,0,55,0,6,25,68,1,1,11,24,0,8,1,11,8,68,53,0,28,54,17,44,6,11,10,0,11,37
"Cell281",0,51,1,21,4,39,0,0,10,19,93,31,0,3,46,8,48,9,8,20,11,25,2,5,3,47,40,46,1,5,0,3,5,6,0,16,3,2,0,48,49,2,0,47,4,35,187,3,10,58,2,2,2,356,30,136,2,89,0,4,38,62,3,2,16,18,0,5,4,4,5,112,52,0,40,47,13,41,2,13,12,0,5,47
"Cell282",0,46,2,22,3,43,0,0,2,18,65,77,1,3,35,8,41,6,7,25,16,32,4,0,1,49,39,67,0,10,0,17,1,2,0,9,3,1,0,45,43,7,0,64,10,51,170,0,5,69,14,8,3,416,18,138,0,68,0,9,66,65,3,0,6,22,1,8,1,5,5,70,46,0,56,66,18,63,7,12,8,0,10,25
"Cell283",0,33,0,10,3,28,0,0,2,19,38,45,0,8,23,7,21,1,4,17,2,14,3,3,1,25,25,47,0,6,1,10,2,10,3,11,9,5,2,60,54,0,0,24,1,33,145,1,13,54,16,2,12,226,23,100,0,51,0,6,27,69,0,0,9,34,0,4,0,7,7,81,41,0,32,51,18,28,0,30,5,0,8,15
"Cell284",0,22,4,13,4,29,0,0,0,25,64,30,0,3,40,5,26,0,1,34,5,27,6,5,0,28,26,70,0,9,0,8,1,5,0,5,6,0,0,52,78,3,0,53,2,23,168,2,9,76,9,9,11,339,22,88,0,48,1,8,26,50,1,0,6,37,0,1,4,3,9,81,39,0,35,53,7,44,3,14,3,4,26,19
"Cell285",0,37,3,8,3,36,0,0,4,10,26,32,0,13,8,1,47,4,1,16,5,14,3,0,0,26,26,52,0,2,0,8,4,3,0,7,0,2,0,22,33,5,0,26,3,21,120,2,2,48,8,3,8,178,16,75,0,42,0,8,26,30,1,1,12,32,0,17,0,1,4,58,44,2,10,30,29,32,0,4,8,0,20,26
"Cell286",0,57,1,36,7,38,0,0,0,40,48,47,0,6,21,7,46,5,3,34,6,12,6,3,6,45,52,93,0,8,0,7,3,12,3,9,3,6,0,42,42,5,0,48,13,35,187,8,3,48,19,9,3,298,45,148,0,56,0,9,24,33,0,0,13,36,1,8,4,4,9,67,48,0,30,59,16,42,4,17,6,0,19,15
"Cell287",0,50,0,11,4,47,0,0,2,16,74,81,1,7,24,2,44,5,2,28,11,23,8,12,3,13,30,76,0,15,0,10,1,9,0,14,12,1,1,72,47,9,4,24,9,28,162,1,8,103,32,7,15,308,24,160,0,43,0,12,20,66,0,3,12,27,0,16,1,5,12,69,58,0,32,64,13,57,1,24,9,1,16,22
"Cell288",2,70,0,20,4,41,2,0,0,32,34,28,0,3,29,5,41,1,3,34,3,5,2,4,1,32,26,71,0,15,0,10,1,6,1,8,5,1,1,50,44,3,0,35,2,18,143,0,9,95,11,11,3,289,27,135,0,52,0,4,20,93,3,0,19,20,0,16,2,4,14,29,51,0,23,69,30,35,1,9,7,1,29,25
"Cell289",0,51,3,16,2,50,3,0,1,29,49,43,1,5,24,11,22,5,1,29,7,11,1,1,0,21,48,51,0,2,2,17,2,11,0,7,6,0,0,40,67,4,0,33,4,22,156,2,5,65,9,13,4,270,41,104,0,63,0,18,32,57,2,3,7,29,1,18,1,2,12,67,42,0,30,78,10,37,0,10,8,1,14,24
"Cell290",0,70,2,12,2,23,2,0,0,27,65,61,0,4,30,13,42,1,5,28,4,18,8,2,3,52,30,101,0,15,2,20,0,1,0,11,4,2,0,52,63,11,0,54,3,37,173,2,3,62,10,0,9,196,39,149,0,61,0,8,31,99,3,4,16,36,0,8,1,1,11,109,59,0,28,77,20,77,1,13,7,0,6,34
"Cell291",0,34,1,12,8,30,6,0,6,18,28,37,0,0,31,7,43,0,0,41,1,15,2,2,5,18,34,61,0,10,2,21,3,5,2,8,2,6,0,54,46,0,0,51,0,27,178,10,10,56,15,11,6,314,40,112,0,53,0,15,23,36,0,2,9,42,0,9,0,8,5,65,60,0,36,95,29,31,4,6,5,0,19,18
"Cell292",0,31,0,9,2,35,0,0,0,21,92,59,0,8,13,9,31,3,5,21,4,20,5,0,2,36,41,58,0,11,0,10,0,4,0,6,0,3,0,71,42,1,0,34,6,34,183,2,3,57,14,4,6,253,22,141,0,85,0,10,26,70,0,3,12,38,0,5,2,1,17,32,69,0,25,58,14,42,2,8,9,8,7,34
"Cell293",0,39,3,22,3,44,0,0,3,13,57,72,1,6,30,15,53,0,4,21,7,38,1,6,4,26,32,80,0,12,0,14,2,9,0,10,0,5,0,44,71,6,1,55,3,30,140,3,3,49,12,3,11,251,28,116,0,76,0,7,38,53,4,1,17,23,0,10,2,2,8,83,62,0,52,126,11,30,1,11,6,1,22,22
"Cell294",0,43,0,27,0,37,0,0,2,19,49,37,0,9,7,9,55,4,2,24,3,10,2,0,1,16,37,46,0,11,0,4,1,5,0,8,1,1,0,15,55,3,0,30,4,32,117,3,3,48,2,2,18,177,11,84,0,42,0,3,26,42,2,0,17,22,0,2,3,1,7,75,37,0,12,19,11,32,0,6,6,3,14,30
"Cell295",0,70,1,19,6,70,0,0,4,14,50,35,3,10,20,9,56,2,6,12,8,24,2,6,2,24,34,79,0,5,0,7,2,5,0,4,3,4,0,79,52,3,0,64,12,20,179,1,1,65,7,5,1,403,25,221,1,56,0,14,35,60,2,1,13,33,0,7,8,7,9,77,86,2,54,47,16,56,2,4,6,2,19,22
"Cell296",0,28,2,10,1,29,1,0,4,30,60,44,2,10,39,9,27,2,0,36,1,30,5,1,6,29,36,78,0,7,0,15,3,6,0,11,1,0,1,47,57,0,0,39,2,30,117,2,13,87,19,4,11,314,30,116,1,67,3,3,19,77,3,1,19,19,0,11,1,1,3,60,47,0,43,52,23,37,3,16,3,0,13,43
"Cell297",0,36,0,19,0,27,0,0,1,11,50,44,0,4,21,14,37,0,2,18,6,11,3,1,0,23,26,78,0,7,0,9,4,4,0,10,0,5,0,39,29,4,0,29,6,20,102,2,5,74,15,2,13,268,23,105,2,52,0,10,22,62,5,3,3,10,0,4,2,1,3,40,38,0,19,53,11,31,1,21,5,2,8,29
"Cell298",0,31,2,8,6,41,3,0,4,18,57,51,1,10,30,10,45,3,3,25,4,31,1,0,2,21,27,82,0,6,0,15,0,10,0,8,4,6,1,71,71,5,0,57,13,21,160,1,6,54,20,8,13,309,27,129,0,73,0,5,25,84,3,1,5,40,0,4,0,0,4,90,54,0,39,50,23,26,8,7,19,4,14,21
"Cell299",0,87,0,22,0,49,0,0,0,29,65,63,0,6,40,13,68,14,2,55,11,11,3,2,4,24,57,98,0,7,7,15,1,10,2,9,1,3,0,86,79,6,0,43,0,25,152,6,5,69,26,2,7,346,35,158,1,71,0,6,37,64,3,1,8,66,0,4,9,1,15,108,58,0,33,86,8,36,1,15,8,7,12,48
"Cell300",0,38,0,27,1,41,0,0,2,6,50,16,0,2,32,9,39,11,4,23,5,17,1,6,6,33,23,45,0,10,1,9,0,4,0,11,3,4,0,51,39,2,0,26,1,16,102,1,4,65,6,6,1,232,32,110,0,41,0,10,20,42,3,0,8,28,0,4,3,2,6,67,37,0,33,51,23,32,0,10,2,1,13,22
"Cell301",0,51,0,8,7,35,0,0,2,13,63,53,1,6,27,12,41,3,4,15,9,18,1,10,2,21,37,38,0,8,3,16,0,11,0,9,8,4,0,37,36,6,0,24,5,20,156,2,1,68,13,8,0,252,27,123,0,41,0,19,40,59,9,3,3,29,0,2,1,3,9,45,56,0,31,66,12,24,1,12,3,1,20,16
"Cell302",0,48,0,20,3,42,0,0,0,17,53,64,0,2,18,14,32,1,6,33,19,19,8,3,1,22,32,102,0,17,0,20,0,4,1,9,7,2,0,36,92,0,1,51,5,29,167,10,0,88,10,5,10,332,25,148,0,79,0,7,48,66,2,1,24,37,0,16,3,2,7,97,46,0,49,32,26,28,4,16,8,1,22,30
"Cell303",0,21,1,8,3,60,0,0,4,23,41,41,0,1,24,2,49,5,3,14,5,24,4,4,3,27,42,49,0,6,0,4,1,7,2,17,4,7,0,69,60,7,2,19,5,21,149,4,5,46,4,3,0,251,33,94,0,47,0,8,42,80,0,0,9,34,0,11,1,4,5,38,47,0,23,31,5,35,0,14,6,0,14,26
"Cell304",0,70,1,18,4,39,2,1,4,27,76,74,0,10,32,18,50,0,4,21,5,47,6,0,0,75,63,106,0,17,1,13,2,13,1,16,7,4,0,68,59,8,1,38,3,45,221,4,3,131,12,3,18,354,46,180,3,97,0,6,45,130,3,5,14,56,0,11,2,7,8,53,118,0,45,95,20,78,3,19,5,0,19,59
"Cell305",0,31,0,31,4,24,2,0,5,14,66,71,6,11,20,11,32,0,3,26,19,32,2,0,0,42,36,70,0,10,0,4,0,6,1,16,3,0,0,73,68,2,0,22,10,33,167,2,6,59,34,2,4,315,28,67,0,77,0,6,44,62,2,3,15,29,0,5,1,2,7,96,51,0,21,88,27,24,2,7,2,0,16,27
"Cell306",0,46,1,16,2,43,0,0,1,42,67,51,2,12,33,21,44,5,2,19,10,11,8,0,1,41,31,51,0,6,2,8,4,9,0,4,1,4,0,61,40,4,1,38,9,42,248,2,8,76,14,3,2,280,21,134,0,71,1,10,33,58,0,2,7,35,0,13,0,4,10,53,36,0,39,80,31,36,2,10,4,1,17,22
"Cell307",0,32,0,23,6,46,0,0,6,19,35,43,0,3,15,17,25,1,1,27,8,27,2,0,1,13,33,83,0,6,1,5,2,0,0,10,8,1,1,63,44,4,1,36,8,19,143,0,3,66,5,9,3,222,30,120,0,53,0,7,22,72,1,2,17,32,0,4,0,3,7,76,34,0,28,64,17,22,2,11,4,3,2,19
"Cell308",0,29,2,29,2,45,1,0,10,19,71,51,2,8,34,9,44,5,4,14,10,14,8,2,2,30,49,95,0,9,1,7,0,11,0,8,2,0,0,38,93,4,0,22,10,28,140,4,3,45,17,4,16,339,33,107,0,85,0,11,25,41,0,3,13,27,0,12,6,3,9,65,46,1,24,108,10,32,0,17,3,0,16,21
"Cell309",0,45,4,17,7,30,3,0,5,12,41,63,0,5,22,17,43,0,0,22,9,12,3,4,3,5,25,78,3,14,0,11,1,8,0,9,2,1,0,31,43,2,0,15,4,20,167,1,4,67,16,5,4,297,27,118,0,68,0,4,47,84,1,1,16,29,0,7,0,4,6,124,46,0,16,63,20,51,3,16,2,0,13,36
"Cell310",0,55,0,10,2,28,0,0,1,20,69,55,0,4,31,2,24,0,2,22,2,17,3,1,0,13,18,59,0,10,0,10,0,7,0,5,3,1,0,50,56,3,0,20,0,17,124,0,2,65,15,1,9,179,13,94,0,48,0,7,20,38,12,5,12,32,0,3,7,3,3,71,31,0,10,69,34,24,2,16,7,1,12,7
"Cell311",0,34,0,12,3,37,0,0,1,9,29,47,0,5,12,7,23,1,2,17,5,27,10,1,2,14,23,46,0,3,0,7,0,8,2,8,4,4,0,42,58,5,2,28,1,32,147,0,7,65,3,0,5,218,14,102,0,40,0,7,32,70,3,0,8,13,0,5,5,3,5,29,44,0,32,41,7,39,0,11,1,0,8,15
"Cell312",0,68,0,17,0,54,3,0,0,25,87,56,0,7,43,9,44,0,0,26,2,14,2,5,2,23,64,74,0,17,0,3,0,8,0,10,6,2,0,38,76,8,0,40,5,53,229,2,2,58,15,9,6,291,36,131,0,41,0,5,45,91,0,0,12,41,0,9,5,15,4,65,84,0,30,72,11,54,4,10,4,2,25,38
"Cell313",0,74,2,19,4,41,0,0,15,25,87,62,2,17,35,21,49,3,5,22,13,36,1,0,3,30,52,52,0,20,2,9,0,7,4,16,3,1,0,34,91,10,0,59,5,53,186,0,10,105,23,3,3,336,42,168,0,96,0,11,33,83,2,0,7,44,0,10,13,2,6,89,48,0,41,94,12,35,1,23,10,4,22,43
"Cell314",0,22,0,8,1,22,1,0,0,11,32,31,0,13,11,8,46,0,1,20,1,21,0,2,3,8,14,38,0,21,0,8,0,3,0,10,3,0,0,37,23,5,0,24,0,16,101,4,2,42,19,3,2,168,24,74,1,24,0,4,16,27,1,0,10,21,0,4,0,1,4,48,30,0,15,38,10,23,0,3,1,0,7,14
"Cell315",0,34,2,8,3,17,0,0,2,16,30,26,0,0,9,5,9,1,0,12,2,12,0,0,0,14,24,45,0,5,2,9,0,8,0,1,6,0,1,27,37,5,0,14,5,13,112,2,10,31,5,2,1,138,6,54,0,38,0,10,19,15,1,0,5,17,0,2,0,8,6,24,28,0,9,19,7,17,2,9,2,0,15,6
"Cell316",0,46,0,9,5,40,0,1,8,28,33,58,3,2,9,12,46,0,1,21,1,10,4,0,0,10,27,72,0,2,0,8,0,6,0,10,7,2,1,31,40,4,0,44,1,22,133,1,7,88,23,2,4,222,9,107,0,55,0,7,17,77,0,2,8,33,0,14,5,6,2,46,40,2,24,39,29,43,1,19,2,0,23,13
"Cell317",0,54,0,24,4,38,0,0,7,32,53,32,0,7,38,11,29,4,1,25,10,14,7,9,1,9,21,92,0,2,2,9,0,8,2,7,4,0,0,61,68,6,0,26,6,41,142,3,10,48,10,1,16,243,18,88,0,79,0,4,40,49,2,0,7,17,0,6,1,3,9,57,74,0,18,61,12,42,1,9,2,0,22,16
"Cell318",0,35,1,29,8,37,1,0,1,23,70,64,0,3,36,4,39,0,3,11,8,18,5,1,2,19,25,80,0,6,0,4,2,9,0,12,3,3,2,34,71,7,0,35,5,29,160,6,5,74,7,1,2,155,25,114,0,49,0,2,29,91,0,5,8,33,0,5,1,3,7,66,41,0,37,61,13,51,4,8,7,1,20,31
"Cell319",0,59,0,16,0,17,0,0,4,31,50,76,0,4,28,1,57,4,2,14,5,12,1,4,1,28,28,48,0,18,0,6,0,4,0,0,2,2,0,54,62,0,0,34,0,27,126,2,5,75,34,8,7,238,26,71,0,59,0,13,28,63,0,2,11,18,0,4,1,2,8,59,72,0,26,54,33,35,5,6,5,3,8,21
"Cell320",0,31,7,10,2,33,4,0,1,27,36,61,0,3,17,2,53,4,2,21,3,18,0,0,1,18,31,52,0,11,0,8,0,5,0,10,0,3,0,40,45,2,0,35,3,33,102,1,6,54,16,2,0,166,18,121,0,48,0,2,13,66,6,7,3,14,0,4,6,5,20,45,43,0,25,47,22,32,0,16,9,1,10,13
"Cell321",0,45,1,21,2,14,2,0,0,27,40,40,0,8,13,4,40,3,6,19,6,14,1,5,0,26,23,69,0,4,0,12,3,6,2,17,5,0,0,51,72,2,1,43,1,66,149,0,6,65,13,4,5,258,14,111,0,32,0,11,26,53,0,3,9,21,0,10,1,10,9,53,39,0,35,55,31,26,0,12,4,0,13,22
"Cell322",0,68,2,27,8,40,0,0,1,19,55,65,0,16,42,0,29,3,1,35,13,4,1,3,1,22,52,61,0,4,0,16,0,6,5,3,1,0,0,45,96,1,0,41,1,40,141,5,7,92,8,10,14,284,28,109,0,78,0,3,30,63,9,0,11,53,0,6,3,1,6,60,70,0,24,73,33,31,0,15,3,0,8,27
"Cell323",0,32,1,16,6,25,0,1,4,35,49,50,1,2,39,8,47,1,1,21,9,15,5,5,4,17,25,45,0,6,2,9,0,4,0,9,0,2,0,73,42,3,0,39,0,27,173,2,8,66,11,7,1,305,22,128,0,42,0,3,31,50,1,2,5,32,0,6,3,6,17,34,53,0,31,44,19,54,2,9,1,0,16,24
"Cell324",0,35,0,15,5,37,5,0,2,21,28,31,1,4,26,15,32,2,2,11,0,12,4,2,0,18,24,38,0,5,0,3,4,9,0,3,1,0,0,43,41,6,0,42,4,19,131,8,0,51,10,10,4,202,36,143,0,58,0,6,35,72,3,1,7,38,0,3,0,4,4,72,45,0,25,53,7,30,1,5,1,0,12,22
"Cell325",0,39,0,11,2,19,0,1,1,31,50,36,0,14,13,7,31,0,0,23,4,18,3,0,2,18,14,37,0,7,0,4,1,1,3,5,0,2,0,50,19,2,0,7,5,19,105,4,6,44,12,0,0,180,11,61,0,38,0,3,12,51,6,1,5,30,0,2,2,0,5,51,28,0,42,37,8,11,1,6,0,1,17,18
"Cell326",0,37,2,12,1,37,0,0,0,14,39,70,0,5,34,6,48,0,0,20,5,28,2,0,1,34,30,49,0,9,1,9,3,2,2,5,1,1,0,32,23,2,0,37,10,30,152,4,1,53,11,1,2,257,29,118,1,41,0,7,20,77,4,2,8,27,0,6,3,6,7,78,37,0,31,69,21,18,1,3,8,0,14,22
"Cell327",0,36,2,22,8,53,2,0,3,33,57,76,0,11,33,23,76,3,8,20,9,40,1,2,3,38,53,147,0,14,0,4,2,8,0,20,7,4,2,80,68,11,0,43,1,35,219,5,13,82,21,3,31,384,45,117,0,55,0,6,57,142,5,4,20,43,0,8,8,4,14,88,70,0,48,124,13,68,2,28,8,5,12,41
"Cell328",0,41,0,25,4,33,0,0,8,16,75,62,0,5,40,13,40,6,3,41,8,46,14,2,3,31,24,56,0,18,1,6,2,9,5,10,3,1,3,28,40,3,0,30,4,56,247,0,6,79,4,6,8,301,31,101,0,63,0,12,24,61,2,4,8,41,0,2,6,0,5,53,62,2,30,89,33,35,0,7,2,0,25,27
"Cell329",0,46,0,20,1,26,0,0,8,7,53,22,0,8,37,10,47,3,3,30,6,17,1,0,1,12,18,44,0,6,0,8,1,10,2,10,0,2,0,37,65,5,0,25,2,35,86,6,5,58,7,1,7,212,21,96,0,86,0,4,25,61,2,1,9,26,0,2,4,1,10,68,36,0,29,48,11,18,6,10,7,0,13,14
